instant,Date,season,yr,mnth,holiday,weekday,workingday,weathersit,temp(°C),atemp(°C),humidity(%),windspeed,Casual,Member,Total_rides,Weekday,Season,WMO code
226.0,2011-08-14,3,0,8,False,6,False,2.0,23.8,25.2,81.8,24.0,1338,2482,3820,Sunday,Summer,
227.0,2011-08-15,3,0,8,False,0,True,1.0,23.3,24.7,71.2,22.5,775,3563,4338,Monday,Summer,
228.0,2011-08-16,3,0,8,False,1,True,1.0,24.9,26.6,57.8,25.5,721,4004,4725,Tuesday,Summer,
229.0,2011-08-17,3,0,8,False,2,True,1.0,26.0,28.0,57.5,15.5,668,4026,4694,Wednesday,Summer,
230.0,2011-08-18,3,0,8,False,3,True,1.0,25.4,27.7,65.5,25.1,639,3166,3805,Thursday,Summer,
231.0,2011-08-19,3,0,8,False,4,True,2.0,24.2,25.8,72.3,15.0,797,3356,4153,Friday,Summer,
232.0,2011-08-20,3,0,8,False,5,False,1.0,24.8,26.8,67.4,11.3,1914,3277,5191,Saturday,Summer,
233.0,2011-08-21,3,0,8,False,6,False,1.0,25.4,28.6,77.0,26.8,1249,2624,3873,Sunday,Summer,
234.0,2011-08-22,3,0,8,False,0,True,1.0,24.5,26.1,47.0,29.8,833,3925,4758,Monday,Summer,
235.0,2011-08-23,3,0,8,False,1,True,1.0,22.1,24.0,45.5,15.8,1281,4614,5895,Tuesday,Summer,
236.0,2011-08-24,3,0,8,False,2,True,1.0,23.6,25.6,60.5,27.3,949,4181,5130,Wednesday,Summer,
237.0,2011-08-25,3,0,8,False,3,True,2.0,24.2,26.6,77.2,22.7,435,3107,3542,Thursday,Summer,
238.0,2011-08-26,3,0,8,False,4,True,1.0,24.9,27.5,76.1,9.1,768,3893,4661,Friday,Summer,
239.0,2011-08-27,3,0,8,False,5,False,2.0,24.0,25.9,85.0,40.5,226,889,1115,Saturday,Summer,
240.0,2011-08-28,3,0,8,False,6,False,1.0,25.2,26.8,56.2,32.9,1415,2919,4334,Sunday,Summer,
241.0,2011-08-29,3,0,8,False,0,True,1.0,21.9,24.1,55.5,17.2,729,3905,4634,Monday,Summer,
242.0,2011-08-30,3,0,8,False,1,True,1.0,22.0,23.3,54.8,13.5,775,4429,5204,Tuesday,Summer,
243.0,2011-08-31,3,0,8,False,2,True,1.0,22.9,24.3,59.8,9.0,688,4370,5058,Wednesday,Summer,
244.0,2011-09-01,3,0,9,False,3,True,1.0,22.8,24.6,63.9,15.3,783,4332,5115,Thursday,Summer,
245.0,2011-09-02,3,0,9,False,4,True,2.0,22.2,23.9,72.7,15.1,875,3852,4727,Friday,Summer,
246.0,2011-09-03,3,0,9,False,5,False,1.0,23.5,25.8,71.7,20.0,1935,2549,4484,Saturday,Summer,
247.0,2011-09-04,3,0,9,False,6,False,1.0,25.3,27.9,74.2,22.3,2521,2419,4940,Sunday,Summer,
248.0,2011-09-05,3,0,9,True,0,False,2.0,23.6,25.3,79.0,22.9,1236,2115,3351,Monday,Summer,
249.0,2011-09-06,3,0,9,False,1,True,3.0,17.4,18.0,88.7,37.1,204,2506,2710,Tuesday,Summer,
250.0,2011-09-07,3,0,9,False,2,True,3.0,20.2,19.9,91.7,10.5,118,1878,1996,Wednesday,Summer,
251.0,2011-09-08,3,0,9,False,3,True,3.0,21.8,20.7,94.0,20.8,153,1689,1842,Thursday,Summer,
252.0,2011-09-09,3,0,9,False,4,True,2.0,22.6,22.2,89.8,13.4,417,3127,3544,Friday,Summer,
253.0,2011-09-10,3,0,9,False,5,False,1.0,23.0,24.1,75.4,16.6,1750,3595,5345,Saturday,Summer,
254.0,2011-09-11,3,0,9,False,6,False,1.0,22.7,24.2,71.4,12.4,1633,3413,5046,Sunday,Summer,
255.0,2011-09-12,3,0,9,False,0,True,1.0,22.3,23.7,69.2,9.6,690,4023,4713,Monday,Summer,
256.0,2011-09-13,3,0,9,False,1,True,1.0,22.6,23.8,71.2,15.3,701,4062,4763,Tuesday,Summer,
257.0,2011-09-14,3,0,9,False,2,True,1.0,23.6,25.4,69.7,18.0,647,4138,4785,Wednesday,Summer,
258.0,2011-09-15,3,0,9,False,3,True,2.0,19.1,20.5,70.9,29.2,428,3231,3659,Thursday,Summer,
259.0,2011-09-16,3,0,9,False,4,True,2.0,14.1,14.5,59.0,17.7,742,4018,4760,Friday,Summer,
260.0,2011-09-17,3,0,9,False,5,False,2.0,15.1,15.6,71.8,20.5,1434,3077,4511,Saturday,Summer,
261.0,2011-09-18,3,0,9,False,6,False,1.0,15.9,16.4,69.5,19.2,1353,2921,4274,Sunday,Summer,
262.0,2011-09-19,3,0,9,False,0,True,2.0,17.8,19.0,69.0,16.4,691,3848,4539,Monday,Summer,
263.0,2011-09-20,3,0,9,False,1,True,2.0,18.4,19.1,88.1,14.6,438,3203,3641,Tuesday,Summer,
264.0,2011-09-21,3,0,9,False,2,True,2.0,20.0,20.3,90.0,10.4,539,3813,4352,Wednesday,Autumn,
265.0,2011-09-22,3,0,9,False,3,True,2.0,21.5,20.6,90.2,13.8,555,4240,4795,Thursday,Autumn,
266.0,2011-09-23,4,0,9,False,4,True,2.0,20.6,18.5,97.2,8.4,258,2137,2395,Friday,Autumn,
267.0,2011-09-24,4,0,9,False,5,False,2.0,20.5,21.3,86.2,8.5,1776,3647,5423,Saturday,Autumn,
268.0,2011-09-25,4,0,9,False,6,False,2.0,21.8,21.8,84.5,5.4,1544,3466,5010,Sunday,Autumn,
269.0,2011-09-26,4,0,9,False,0,True,2.0,22.5,22.9,84.8,11.9,684,3946,4630,Monday,Autumn,
270.0,2011-09-27,4,0,9,False,1,True,2.0,21.9,21.9,88.5,12.7,477,3643,4120,Tuesday,Autumn,
271.0,2011-09-28,4,0,9,False,2,True,2.0,21.8,22.0,84.9,16.0,480,3427,3907,Wednesday,Autumn,
272.0,2011-09-29,4,0,9,False,3,True,1.0,21.0,21.9,69.9,18.6,653,4186,4839,Thursday,Autumn,
273.0,2011-09-30,4,0,9,False,4,True,1.0,18.5,20.0,64.8,22.3,830,4372,5202,Friday,Autumn,
274.0,2011-10-01,4,0,10,False,5,False,2.0,11.3,11.2,75.4,31.5,480,1949,2429,Saturday,Autumn,
275.0,2011-10-02,4,0,10,False,6,False,2.0,8.8,6.8,79.2,23.9,616,2302,2918,Sunday,Autumn,
276.0,2011-10-03,4,0,10,False,0,True,2.0,10.1,9.9,76.1,9.0,330,3240,3570,Monday,Autumn,
277.0,2011-10-04,4,0,10,False,1,True,1.0,14.8,15.2,71.0,22.2,486,3970,4456,Tuesday,Autumn,
278.0,2011-10-05,4,0,10,False,2,True,1.0,17.3,18.8,64.8,19.1,559,4267,4826,Wednesday,Autumn,
279.0,2011-10-06,4,0,10,False,3,True,1.0,15.2,15.7,62.1,14.6,639,4126,4765,Thursday,Autumn,
280.0,2011-10-07,4,0,10,False,4,True,1.0,16.0,17.3,68.4,2.4,949,4036,4985,Friday,Autumn,
281.0,2011-10-08,4,0,10,False,5,False,1.0,16.5,17.9,70.1,4.9,2235,3174,5409,Saturday,Autumn,
282.0,2011-10-09,4,0,10,False,6,False,1.0,17.4,18.6,72.8,6.8,2397,3114,5511,Sunday,Autumn,
283.0,2011-10-10,4,0,10,True,0,False,1.0,18.8,19.8,73.4,4.6,1514,3603,5117,Monday,Autumn,
284.0,2011-10-11,4,0,10,False,1,True,2.0,18.6,20.0,80.9,15.4,667,3896,4563,Tuesday,Autumn,
285.0,2011-10-12,4,0,10,False,2,True,3.0,17.5,18.2,90.6,26.8,217,2199,2416,Wednesday,Autumn,
286.0,2011-10-13,4,0,10,False,3,True,2.0,19.7,20.4,89.7,15.3,290,2623,2913,Thursday,Autumn,
287.0,2011-10-14,4,0,10,False,4,True,2.0,17.9,19.0,71.6,24.1,529,3115,3644,Friday,Autumn,
288.0,2011-10-15,4,0,10,False,5,False,1.0,15.8,16.9,48.3,27.8,1899,3318,5217,Saturday,Autumn,
289.0,2011-10-16,4,0,10,False,6,False,1.0,16.0,17.2,48.7,30.4,1748,3293,5041,Sunday,Autumn,
290.0,2011-10-17,4,0,10,False,0,True,1.0,17.1,17.7,58.0,18.9,713,3857,4570,Monday,Autumn,
291.0,2011-10-18,4,0,10,False,1,True,2.0,17.0,18.5,70.2,11.9,637,4111,4748,Tuesday,Autumn,
292.0,2011-10-19,4,0,10,False,2,True,3.0,17.5,17.9,89.5,26.2,254,2170,2424,Wednesday,Autumn,
293.0,2011-10-20,4,0,10,False,3,True,1.0,14.4,14.8,63.6,45.5,471,3724,4195,Thursday,Autumn,
294.0,2011-10-21,4,0,10,False,4,True,1.0,12.1,12.0,57.4,23.9,676,3628,4304,Friday,Autumn,
295.0,2011-10-22,4,0,10,False,5,False,1.0,11.9,12.1,62.9,10.0,1499,2809,4308,Saturday,Autumn,
296.0,2011-10-23,4,0,10,False,6,False,1.0,11.8,11.9,74.1,10.7,1619,2762,4381,Sunday,Autumn,
297.0,2011-10-24,4,0,10,False,0,True,1.0,13.8,14.2,77.2,12.8,699,3488,4187,Monday,Autumn,
298.0,2011-10-25,4,0,10,False,1,True,1.0,14.2,14.6,62.3,18.0,695,3992,4687,Tuesday,Autumn,
299.0,2011-10-26,4,0,10,False,2,True,2.0,14.8,15.2,72.0,16.0,404,3490,3894,Wednesday,Autumn,
300.0,2011-10-27,4,0,10,False,3,True,2.0,14.1,14.2,81.3,21.3,240,2419,2659,Thursday,Autumn,
301.0,2011-10-28,4,0,10,False,4,True,2.0,7.5,5.0,58.6,24.7,456,3291,3747,Friday,Autumn,
302.0,2011-10-29,4,0,10,False,5,False,3.0,3.9,-1.0,88.2,37.9,57,570,627,Saturday,Autumn,
303.0,2011-10-30,4,0,10,False,6,False,1.0,7.0,5.2,62.4,19.0,885,2446,3331,Sunday,Autumn,
304.0,2011-10-31,4,0,10,False,0,True,1.0,8.0,7.5,70.3,11.5,362,3307,3669,Monday,Autumn,
305.0,2011-11-01,4,0,11,False,1,True,1.0,10.8,10.2,68.4,14.6,410,3658,4068,Tuesday,Autumn,
306.0,2011-11-02,4,0,11,False,2,True,1.0,9.7,9.7,71.9,8.9,370,3816,4186,Wednesday,Autumn,
307.0,2011-11-03,4,0,11,False,3,True,1.0,11.2,10.8,70.2,14.8,318,3656,3974,Thursday,Autumn,
308.0,2011-11-04,4,0,11,False,4,True,2.0,11.0,10.6,62.3,29.3,470,3576,4046,Friday,Autumn,
309.0,2011-11-05,4,0,11,False,5,False,1.0,7.4,5.4,51.9,20.4,1156,2770,3926,Saturday,Autumn,
310.0,2011-11-06,4,0,11,False,6,False,1.0,8.4,7.9,73.5,9.9,952,2697,3649,Sunday,Autumn,
311.0,2011-11-07,4,0,11,False,0,True,1.0,10.6,10.5,75.9,6.2,373,3662,4035,Monday,Autumn,
312.0,2011-11-08,4,0,11,False,1,True,1.0,11.2,11.2,72.2,7.4,376,3829,4205,Tuesday,Autumn,
313.0,2011-11-09,4,0,11,False,2,True,1.0,10.8,11.0,75.8,6.7,305,3804,4109,Wednesday,Autumn,
314.0,2011-11-10,4,0,11,False,3,True,2.0,9.9,8.7,81.3,20.4,190,2743,2933,Thursday,Autumn,
315.0,2011-11-11,4,0,11,True,4,False,1.0,7.2,4.2,44.6,33.9,440,2928,3368,Friday,Autumn,
316.0,2011-11-12,4,0,11,False,5,False,1.0,8.8,7.6,55.3,22.9,1275,2792,4067,Saturday,Autumn,
317.0,2011-11-13,4,0,11,False,6,False,1.0,12.7,12.4,45.8,30.4,1004,2713,3717,Sunday,Autumn,
318.0,2011-11-14,4,0,11,False,0,True,1.0,16.9,18.6,58.7,33.1,595,3891,4486,Monday,Autumn,
319.0,2011-11-15,4,0,11,False,1,True,2.0,16.9,17.5,68.9,21.5,449,3746,4195,Tuesday,Autumn,
320.0,2011-11-16,4,0,11,False,2,True,3.0,13.5,13.8,93.0,14.8,145,1672,1817,Wednesday,Autumn,
321.0,2011-11-17,4,0,11,False,3,True,2.0,8.1,5.3,57.6,32.9,139,2914,3053,Thursday,Autumn,
322.0,2011-11-18,4,0,11,False,4,True,1.0,4.9,2.0,41.0,18.2,245,3147,3392,Friday,Autumn,
323.0,2011-11-19,4,0,11,False,5,False,1.0,7.5,5.4,50.2,24.2,943,2720,3663,Saturday,Autumn,
324.0,2011-11-20,4,0,11,False,6,False,2.0,13.8,14.2,68.5,20.1,787,2733,3520,Sunday,Autumn,
325.0,2011-11-21,4,0,11,False,0,True,3.0,13.0,13.4,91.0,14.9,220,2545,2765,Monday,Autumn,
326.0,2011-11-22,4,0,11,False,1,True,3.0,11.6,11.8,96.2,12.8,69,1538,1607,Tuesday,Autumn,
327.0,2011-11-23,4,0,11,False,2,True,2.0,12.7,12.4,75.8,36.2,112,2454,2566,Wednesday,Autumn,
328.0,2011-11-24,4,0,11,True,3,False,1.0,9.5,8.6,54.9,18.0,560,935,1495,Thursday,Autumn,
329.0,2011-11-25,4,0,11,False,4,True,1.0,9.6,9.1,64.4,10.7,1095,1697,2792,Friday,Autumn,
330.0,2011-11-26,4,0,11,False,5,False,1.0,9.7,9.4,68.2,7.4,1249,1819,3068,Saturday,Autumn,
331.0,2011-11-27,4,0,11,False,6,False,1.0,13.6,14.1,69.8,22.5,810,2261,3071,Sunday,Autumn,
332.0,2011-11-28,4,0,11,False,0,True,1.0,15.7,16.3,74.3,15.3,253,3614,3867,Monday,Autumn,
333.0,2011-11-29,4,0,11,False,1,True,2.0,13.5,13.8,83.1,27.8,96,2818,2914,Tuesday,Autumn,
334.0,2011-11-30,4,0,11,False,2,True,1.0,7.3,4.5,61.3,29.2,188,3425,3613,Wednesday,Autumn,
335.0,2011-12-01,4,0,12,False,3,True,1.0,6.7,4.2,52.5,23.7,182,3545,3727,Thursday,Autumn,
336.0,2011-12-02,4,0,12,False,4,True,1.0,6.8,5.9,62.6,10.9,268,3672,3940,Friday,Autumn,
337.0,2011-12-03,4,0,12,False,5,False,1.0,6.1,4.5,61.3,10.3,706,2908,3614,Saturday,Autumn,
338.0,2011-12-04,4,0,12,False,6,False,1.0,7.5,7.0,77.6,9.1,634,2851,3485,Sunday,Autumn,
339.0,2011-12-05,4,0,12,False,0,True,2.0,10.1,10.0,82.7,6.7,233,3578,3811,Monday,Autumn,
340.0,2011-12-06,4,0,12,False,1,True,3.0,13.7,14.1,95.0,25.1,126,2468,2594,Tuesday,Autumn,
341.0,2011-12-07,4,0,12,False,2,True,3.0,11.3,10.4,97.0,28.7,50,655,705,Wednesday,Autumn,
342.0,2011-12-08,4,0,12,False,3,True,1.0,4.5,1.0,58.0,25.9,150,3172,3322,Thursday,Autumn,
343.0,2011-12-09,4,0,12,False,4,True,1.0,5.7,5.0,69.6,8.9,261,3359,3620,Friday,Autumn,
344.0,2011-12-10,4,0,12,False,5,False,1.0,4.9,1.6,50.7,25.1,502,2688,3190,Saturday,Autumn,
345.0,2011-12-11,4,0,12,False,6,False,1.0,2.4,0.7,49.0,7.2,377,2366,2743,Sunday,Autumn,
346.0,2011-12-12,4,0,12,False,0,True,1.0,3.2,1.8,67.1,6.8,143,3167,3310,Monday,Autumn,
347.0,2011-12-13,4,0,12,False,1,True,1.0,5.3,3.9,59.0,15.2,155,3368,3523,Tuesday,Autumn,
348.0,2011-12-14,4,0,12,False,2,True,2.0,6.9,6.3,66.4,6.6,178,3562,3740,Wednesday,Autumn,
349.0,2011-12-15,4,0,12,False,3,True,2.0,11.9,11.2,63.4,28.9,181,3528,3709,Thursday,Autumn,
350.0,2011-12-16,4,0,12,False,4,True,2.0,9.6,7.7,50.0,28.1,178,3399,3577,Friday,Autumn,
351.0,2011-12-17,4,0,12,False,5,False,2.0,4.1,0.5,56.1,26.2,275,2464,2739,Saturday,Autumn,
352.0,2011-12-18,4,0,12,False,6,False,1.0,3.2,0.2,58.6,18.3,220,2211,2431,Sunday,Autumn,
353.0,2011-12-19,4,0,12,False,0,True,1.0,5.0,2.5,63.7,18.6,260,3143,3403,Monday,Autumn,
354.0,2011-12-20,4,0,12,False,1,True,2.0,10.1,10.2,59.5,6.6,216,3534,3750,Tuesday,Autumn,
355.0,2011-12-21,1,0,12,False,2,True,2.0,12.1,12.2,85.8,23.9,107,2553,2660,Wednesday,Autumn,
356.0,2011-12-22,1,0,12,False,3,True,2.0,11.9,12.1,75.8,5.1,227,2841,3068,Thursday,Winter,
357.0,2011-12-23,1,0,12,False,4,True,1.0,9.5,8.9,68.6,29.6,163,2046,2209,Friday,Winter,
358.0,2011-12-24,1,0,12,False,5,False,1.0,6.2,3.7,54.2,20.5,155,856,1011,Saturday,Winter,
359.0,2011-12-25,1,0,12,False,6,False,1.0,4.9,2.5,68.1,16.7,303,451,754,Sunday,Winter,
360.0,2011-12-26,1,0,12,True,0,False,1.0,7.1,4.8,50.7,25.8,430,887,1317,Monday,Winter,
361.0,2011-12-27,1,0,12,False,1,True,2.0,7.3,5.6,76.2,20.3,103,1059,1162,Tuesday,Winter,
362.0,2011-12-28,1,0,12,False,2,True,1.0,6.1,2.5,50.4,31.7,255,2047,2302,Wednesday,Winter,
363.0,2011-12-29,1,0,12,False,3,True,1.0,3.7,1.4,57.4,12.9,254,2169,2423,Thursday,Winter,
364.0,2011-12-30,1,0,12,False,4,True,1.0,6.6,5.0,63.7,14.5,491,2508,2999,Friday,Winter,
365.0,2011-12-31,1,0,12,False,5,False,1.0,11.3,11.3,61.6,23.7,665,1820,2485,Saturday,Winter,
366.0,2012-01-01,1,1,1,False,6,False,1.0,9.4,8.8,69.2,20.7,686,1608,2294,Sunday,Winter,
367.0,2012-01-02,1,1,1,True,0,False,1.0,4.8,0.7,38.1,35.5,244,1707,1951,Monday,Winter,
368.0,2012-01-03,1,1,1,False,1,True,1.0,-1.0,-7.7,44.1,39.4,89,2147,2236,Tuesday,Winter,
369.0,2012-01-04,1,1,1,False,2,True,2.0,-2.9,-8.1,41.5,19.9,95,2273,2368,Wednesday,Winter,
370.0,2012-01-05,1,1,1,False,3,True,1.0,4.5,2.4,52.4,14.0,140,3132,3272,Thursday,Winter,
371.0,2012-01-06,1,1,1,False,4,True,1.0,7.7,6.5,54.2,18.1,307,3791,4098,Friday,Winter,
372.0,2012-01-07,1,1,1,False,5,False,1.0,10.5,9.8,53.2,18.8,1070,3451,4521,Saturday,Winter,
373.0,2012-01-08,1,1,1,False,6,False,1.0,7.9,6.5,46.5,20.7,599,2826,3425,Sunday,Winter,
374.0,2012-01-09,1,1,1,False,0,True,2.0,2.5,0.3,70.2,10.7,106,2270,2376,Monday,Winter,
375.0,2012-01-10,1,1,1,False,1,True,1.0,6.5,5.0,64.7,20.2,173,3425,3598,Tuesday,Winter,
376.0,2012-01-11,1,1,1,False,2,True,2.0,4.9,2.7,84.8,14.1,92,2085,2177,Wednesday,Winter,
377.0,2012-01-12,1,1,1,False,3,True,2.0,10.0,9.2,80.3,19.5,269,3828,4097,Thursday,Winter,
378.0,2012-01-13,1,1,1,False,4,True,1.0,4.9,0.5,50.7,40.8,174,3040,3214,Friday,Winter,
379.0,2012-01-14,1,1,1,False,5,False,1.0,0.5,-3.9,45.8,20.2,333,2160,2493,Saturday,Winter,
380.0,2012-01-15,1,1,1,False,6,False,1.0,-0.2,-5.3,41.9,27.1,284,2027,2311,Sunday,Winter,
381.0,2012-01-16,1,1,1,True,0,False,1.0,0.9,-3.4,52.2,24.9,217,2081,2298,Monday,Winter,
382.0,2012-01-17,1,1,1,False,1,True,2.0,9.5,8.0,71.6,37.6,127,2808,2935,Tuesday,Winter,
383.0,2012-01-18,1,1,1,False,2,True,1.0,6.3,2.2,44.3,44.8,109,3267,3376,Wednesday,Winter,
384.0,2012-01-19,1,1,1,False,3,True,1.0,0.9,-3.5,49.8,23.7,130,3162,3292,Thursday,Winter,
385.0,2012-01-20,1,1,1,False,4,True,2.0,2.2,-1.4,45.0,21.9,115,3048,3163,Friday,Winter,
386.0,2012-01-21,1,1,1,False,5,False,2.0,0.1,-4.5,83.1,24.0,67,1234,1301,Saturday,Winter,
387.0,2012-01-22,1,1,1,False,6,False,2.0,-0.4,-5.3,79.6,21.5,196,1781,1977,Sunday,Winter,
388.0,2012-01-23,1,1,1,False,0,True,2.0,2.3,0.0,91.1,11.9,145,2287,2432,Monday,Winter,
389.0,2012-01-24,1,1,1,False,1,True,1.0,8.1,7.0,83.6,13.3,439,3900,4339,Tuesday,Winter,
390.0,2012-01-25,1,1,1,False,2,True,1.0,5.8,3.5,64.4,17.4,467,3803,4270,Wednesday,Winter,
391.0,2012-01-26,1,1,1,False,3,True,2.0,8.1,7.5,77.0,7.9,244,3831,4075,Thursday,Winter,
392.0,2012-01-27,1,1,1,False,4,True,2.0,12.0,11.4,74.1,36.9,269,3187,3456,Friday,Winter,
393.0,2012-01-28,1,1,1,False,5,False,1.0,6.8,5.5,54.3,22.7,775,3248,4023,Saturday,Winter,
394.0,2012-01-29,1,1,1,False,6,False,1.0,5.3,2.0,31.1,25.9,558,2685,3243,Sunday,Winter,
395.0,2012-01-30,1,1,1,False,0,True,1.0,4.7,1.3,40.1,23.3,126,3498,3624,Monday,Winter,
396.0,2012-01-31,1,1,1,False,1,True,1.0,10.3,9.2,41.7,28.2,324,4185,4509,Tuesday,Winter,
397.0,2012-02-01,1,1,2,False,2,True,1.0,14.1,14.8,50.8,20.4,304,4275,4579,Wednesday,Winter,
398.0,2012-02-02,1,1,2,False,3,True,2.0,10.8,10.3,67.3,20.2,190,3571,3761,Thursday,Winter,
399.0,2012-02-03,1,1,2,False,4,True,1.0,6.7,4.4,52.7,19.2,310,3841,4151,Friday,Winter,
400.0,2012-02-04,1,1,2,False,5,False,2.0,4.4,2.0,78.0,13.1,384,2448,2832,Saturday,Winter,
401.0,2012-02-05,1,1,2,False,6,False,2.0,4.5,1.5,68.8,19.0,318,2629,2947,Sunday,Winter,
402.0,2012-02-06,1,1,2,False,0,True,1.0,5.3,3.6,62.2,16.6,206,3578,3784,Monday,Winter,
403.0,2012-02-07,1,1,2,False,1,True,1.0,8.6,7.8,49.6,15.9,199,4176,4375,Tuesday,Winter,
404.0,2012-02-08,1,1,2,False,2,True,2.0,4.1,1.6,72.3,14.4,109,2693,2802,Wednesday,Winter,
405.0,2012-02-09,1,1,2,False,3,True,1.0,4.5,1.3,56.2,20.9,163,3667,3830,Thursday,Winter,
406.0,2012-02-10,1,1,2,False,4,True,2.0,5.2,3.4,54.0,12.6,227,3604,3831,Friday,Winter,
407.0,2012-02-11,1,1,2,False,5,False,3.0,2.5,-2.1,73.1,31.2,192,1977,2169,Saturday,Winter,
408.0,2012-02-12,1,1,2,False,6,False,1.0,-2.0,-9.3,46.5,44.1,73,1456,1529,Sunday,Winter,
409.0,2012-02-13,1,1,2,False,0,True,1.0,2.5,-1.0,41.1,18.0,94,3328,3422,Monday,Winter,
410.0,2012-02-14,1,1,2,False,1,True,2.0,7.0,6.0,50.9,15.2,135,3787,3922,Tuesday,Winter,
411.0,2012-02-15,1,1,2,False,2,True,1.0,8.4,7.2,53.1,19.6,141,4028,4169,Wednesday,Winter,
412.0,2012-02-16,1,1,2,False,3,True,2.0,6.9,5.8,75.3,9.9,74,2931,3005,Thursday,Winter,
413.0,2012-02-17,1,1,2,False,4,True,1.0,8.1,7.2,63.5,22.2,349,3805,4154,Friday,Winter,
414.0,2012-02-18,1,1,2,False,5,False,1.0,8.3,7.5,53.5,20.6,1435,2883,4318,Saturday,Winter,
415.0,2012-02-19,1,1,2,False,6,False,2.0,5.2,1.5,51.6,27.3,618,2071,2689,Sunday,Winter,
416.0,2012-02-20,1,1,2,True,0,False,1.0,5.2,2.0,50.8,24.7,502,2627,3129,Monday,Winter,
417.0,2012-02-21,1,1,2,False,1,True,1.0,5.5,3.5,59.4,22.2,163,3614,3777,Tuesday,Winter,
418.0,2012-02-22,1,1,2,False,2,True,1.0,10.6,9.9,56.8,25.3,394,4379,4773,Wednesday,Winter,
419.0,2012-02-23,1,1,2,False,3,True,1.0,13.3,13.3,55.5,20.6,516,4546,5062,Thursday,Winter,
420.0,2012-02-24,1,1,2,False,4,True,2.0,11.2,11.1,73.8,25.6,246,3241,3487,Friday,Winter,
421.0,2012-02-25,1,1,2,False,5,False,1.0,5.7,0.9,39.6,45.5,317,2415,2732,Saturday,Winter,
422.0,2012-02-26,1,1,2,False,6,False,1.0,5.1,1.7,41.0,22.1,515,2874,3389,Sunday,Winter,
423.0,2012-02-27,1,1,2,False,0,True,1.0,9.2,7.6,49.1,28.9,253,4069,4322,Monday,Winter,
424.0,2012-02-28,1,1,2,False,1,True,1.0,8.9,7.3,39.6,20.9,229,4134,4363,Tuesday,Winter,
425.0,2012-02-29,1,1,2,False,2,True,2.0,8.2,7.0,80.5,19.3,65,1769,1834,Wednesday,Winter,
426.0,2012-03-01,1,1,3,False,3,True,1.0,14.8,15.4,61.5,24.5,325,4665,4990,Thursday,Winter,
427.0,2012-03-02,1,1,3,False,4,True,2.0,8.6,7.7,65.7,15.6,246,2948,3194,Friday,Winter,
428.0,2012-03-03,1,1,3,False,5,False,2.0,11.5,11.3,62.1,17.4,956,3110,4066,Saturday,Winter,
429.0,2012-03-04,1,1,3,False,6,False,1.0,7.3,4.0,40.3,36.1,710,2713,3423,Sunday,Winter,
430.0,2012-03-05,1,1,3,False,0,True,1.0,3.4,-0.1,50.6,24.7,203,3130,3333,Monday,Winter,
431.0,2012-03-06,1,1,3,False,1,True,1.0,4.1,0.8,45.7,21.7,221,3735,3956,Tuesday,Winter,
432.0,2012-03-07,1,1,3,False,2,True,1.0,11.0,9.4,51.3,37.3,432,4484,4916,Wednesday,Winter,
433.0,2012-03-08,1,1,3,False,3,True,1.0,16.8,18.6,56.8,47.6,486,4896,5382,Thursday,Winter,
434.0,2012-03-09,1,1,3,False,4,True,2.0,11.3,10.2,40.7,44.7,447,4122,4569,Friday,Winter,
435.0,2012-03-10,1,1,3,False,5,False,1.0,5.5,2.3,35.0,24.3,968,3150,4118,Saturday,Winter,
436.0,2012-03-11,1,1,3,False,6,False,1.0,9.0,7.7,47.7,24.0,1658,3253,4911,Sunday,Winter,
437.0,2012-03-12,1,1,3,False,0,True,1.0,13.9,14.3,48.9,22.4,838,4460,5298,Monday,Winter,
438.0,2012-03-13,1,1,3,False,1,True,1.0,18.6,19.8,61.8,25.5,762,5085,5847,Tuesday,Winter,
439.0,2012-03-14,1,1,3,False,2,True,1.0,18.9,20.2,50.7,12.4,997,5315,6312,Wednesday,Winter,
440.0,2012-03-15,1,1,3,False,3,True,1.0,18.2,19.2,58.0,16.2,1005,5187,6192,Thursday,Winter,
441.0,2012-03-16,1,1,3,False,4,True,2.0,12.5,12.8,84.2,12.2,548,3830,4378,Friday,Winter,
442.0,2012-03-17,1,1,3,False,5,False,2.0,16.2,17.3,75.6,11.9,3155,4681,7836,Saturday,Winter,
443.0,2012-03-18,1,1,3,False,6,False,2.0,14.2,14.6,81.0,13.7,2207,3685,5892,Sunday,Winter,
444.0,2012-03-19,1,1,3,False,0,True,1.0,17.6,19.2,72.9,17.5,982,5171,6153,Monday,Winter,
445.0,2012-03-20,1,1,3,False,1,True,1.0,18.4,19.5,80.8,13.1,1051,5042,6093,Tuesday,Spring,
446.0,2012-03-21,2,1,3,False,2,True,2.0,17.0,17.9,82.1,9.7,1122,5108,6230,Wednesday,Spring,
447.0,2012-03-22,2,1,3,False,3,True,1.0,18.0,19.1,83.1,12.7,1334,5537,6871,Thursday,Spring,
448.0,2012-03-23,2,1,3,False,4,True,2.0,20.3,21.6,69.4,12.5,2469,5893,8362,Friday,Spring,
449.0,2012-03-24,2,1,3,False,5,False,2.0,15.6,16.1,88.5,20.8,1033,2339,3372,Saturday,Spring,
450.0,2012-03-25,2,1,3,False,6,False,2.0,12.6,12.9,88.1,23.8,1532,3464,4996,Sunday,Spring,
